channel_id,channel_title,channel_url,niche,subscriber_count
UCnW_ZD5qjUvFvjMeOmGh9TA,Podcast Café Amargo,https://www.youtube.com/channel/UCnW_ZD5qjUvFvjMeOmGh9TA,alfabetização,1500
UCrLf4yvZKL9XDOFOY64v0tQ,PODCAST DO PROFESSOR              canal do ceroca,https://www.youtube.com/channel/UCrLf4yvZKL9XDOFOY64v0tQ,docência,1460
UCRDMJ_B8RfPiB7dfWLc0JEw,Focus 23 podcast,https://www.youtube.com/channel/UCRDMJ_B8RfPiB7dfWLc0JEw,acadêmico,1450
UCpTATJZSML6tjZ9mXtxAxwg,CLG Educação | Papo de Cliente Podcast,https://www.youtube.com/channel/UCpTATJZSML6tjZ9mXtxAxwg,educação,1330
UCIG2M3GWjKiZSyubGtJg87Q,Educação em Foco Podcast,https://www.youtube.com/channel/UCIG2M3GWjKiZSyubGtJg87Q,educação,1320
UCQLBtLdp1irqPy0s__b6ZLQ,Intelectus Podcast,https://www.youtube.com/channel/UCQLBtLdp1irqPy0s__b6ZLQ,formação,1280
UCqgy80tGBJvNtmZeoIHqTFA,Manual da Musica Podcast,https://www.youtube.com/channel/UCqgy80tGBJvNtmZeoIHqTFA,instrução,1240
UCMWzBDUZy1ZiYfqBdCmp43Q,Conexão Fit Podcast,https://www.youtube.com/channel/UCMWzBDUZy1ZiYfqBdCmp43Q,treinamento,1240
UCJVLkO4ETSHWxeKFA63SBDQ,Podcast Ponto de Vista,https://www.youtube.com/channel/UCJVLkO4ETSHWxeKFA63SBDQ,didática,1230
UC2LJXT-kvrcySxqU_PYS0Xw,Cidadania Ativa,https://www.youtube.com/channel/UC2LJXT-kvrcySxqU_PYS0Xw,formação,1170
UCmdPr4aVLCfijT20g6YGsmg,Fala T&D,https://www.youtube.com/channel/UCmdPr4aVLCfijT20g6YGsmg,aprendizagem,1120
UC5KSkoNHCGM6ajJ3UtJHUzA,O Gestor Podcast,https://www.youtube.com/channel/UC5KSkoNHCGM6ajJ3UtJHUzA,formação,1060
UC7gsGrxRXIuzPJWpLCecVRw,Escola Pública Podcast,https://www.youtube.com/channel/UC7gsGrxRXIuzPJWpLCecVRw,educação,1030
UCP5Dg8q2zUD7X2wNQXt3h0A,Olha o que eu aprendi | PODCAST,https://www.youtube.com/channel/UCP5Dg8q2zUD7X2wNQXt3h0A,aprendizado,1030
UCTBmVImkdOmXSIV2zFnGW0Q,Operação Podcast,https://www.youtube.com/channel/UCTBmVImkdOmXSIV2zFnGW0Q,instrução,917
UC2WPu5HnS1hOnVZfY_GABlQ,Intimados Podcast,https://www.youtube.com/channel/UC2WPu5HnS1hOnVZfY_GABlQ,instrução,891
UCw7_EIzzEMQ5eF7jLT8e1-Q,Sociologando Podcast,https://www.youtube.com/channel/UCw7_EIzzEMQ5eF7jLT8e1-Q,conhecimento,885
UC2dtS8s8Tc_4nN27rosUGQg,Podcast Empreender,https://www.youtube.com/channel/UC2dtS8s8Tc_4nN27rosUGQg,conhecimento,860
UCnsZ5EL53qogZXTB9YLU9Cw,Chiclette Podcast,https://www.youtube.com/channel/UCnsZ5EL53qogZXTB9YLU9Cw,ensino médio,807
UCC-Kqv7SSNCtswyfFC5_J2A,Podcast Umbanda Conhecimentos,https://www.youtube.com/channel/UCC-Kqv7SSNCtswyfFC5_J2A,conhecimento,792
UC0ksyczGLlAEjsWToFMQ-uA,Passo A Passo Podcast,https://www.youtube.com/channel/UC0ksyczGLlAEjsWToFMQ-uA,aprendizado,768
UCZtf7I_7ljpYW_H7iIGmR7w,Papo de Escada Podcast,https://www.youtube.com/channel/UCZtf7I_7ljpYW_H7iIGmR7w,ensino,768
UCq2Jt9WQKiN8ffl2yH210NA,PROLIVE Podcast,https://www.youtube.com/channel/UCq2Jt9WQKiN8ffl2yH210NA,capacitação,757
UCt3w_1V4BYRjsRyew47rRSg,PODCAST PEDAGOGIA EM PAUTA,https://www.youtube.com/channel/UCt3w_1V4BYRjsRyew47rRSg,pedagogia,739
UCazE59gZQFyhw3qNN50nujQ,Edifique Podcast,https://www.youtube.com/channel/UCazE59gZQFyhw3qNN50nujQ,conhecimento,729
UCv9oRAX-y4VVz3Hh2TbRO4w,O Novo Digital - Podcast,https://www.youtube.com/channel/UCv9oRAX-y4VVz3Hh2TbRO4w,didática,718
UCW0raRcA2_bf0VkOc9VmbdQ,Geração G4 - Podcast G4 Educação,https://www.youtube.com/channel/UCW0raRcA2_bf0VkOc9VmbdQ,educação,620
UC4YB8bz_h7yOwkdtvERHLHA,Podcast Un Curso De Milagros,https://www.youtube.com/channel/UC4YB8bz_h7yOwkdtvERHLHA,capacitação,598
UC5cZ39OgZJ3tSS7ytn67ysg,AnteCIPA Podcast,https://www.youtube.com/channel/UC5cZ39OgZJ3tSS7ytn67ysg,instrução,596
UCCZa9FTsFQJB0a-3hPUtOwg,Educação é o Alvo Podcast,https://www.youtube.com/channel/UCCZa9FTsFQJB0a-3hPUtOwg,educação,565
UC_fyNk2UkPUtDN9BxHjxW2Q,NA ESCOLA Podcast,https://www.youtube.com/channel/UC_fyNk2UkPUtDN9BxHjxW2Q,escola,546
UC8c4uFSQSwBoxJ0jP0fRFbA,ConeSul Podcast,https://www.youtube.com/channel/UC8c4uFSQSwBoxJ0jP0fRFbA,educação infantil,538
UCqbkq_dJZvgSoZjI6HBKkng,UninterCast,https://www.youtube.com/channel/UCqbkq_dJZvgSoZjI6HBKkng,ensino superior,524
UCk3SuU0GV_31DkBgQaoYDUg,CUNVERSA PODCAST,https://www.youtube.com/channel/UCk3SuU0GV_31DkBgQaoYDUg,formação continuada,507
UC-aOGkcnc1qxqKSVCNTb_FQ,WOW Podcast,https://www.youtube.com/channel/UC-aOGkcnc1qxqKSVCNTb_FQ,conhecimento,503
UCEdyuIRSzKU681jhTRyp67w,Traz o Brilho,https://www.youtube.com/channel/UCEdyuIRSzKU681jhTRyp67w,aprendizado,495
UCV29u8y5n-R-dQMOOohAS3w,Podcast Beleza Humana,https://www.youtube.com/channel/UCV29u8y5n-R-dQMOOohAS3w,educação infantil,454
UC62jBgzxD37T2lmF2xyJ08g,Saúde em Jogo Podcast,https://www.youtube.com/channel/UC62jBgzxD37T2lmF2xyJ08g,treinamento,434
