Canal,Link,Número de Inscritos
Podcast Queimadas de SI,https://www.youtube.com/channel/UCU_CZpLd3rS7kwISV2OP2HA,34
Podunk Software Podcast,https://www.youtube.com/channel/UCAOLNfE742eJ-_DMthD912A,34
ExtremeHW Podcast,https://www.youtube.com/channel/UCqg2FHifFRDo8Lx-tpj_Wcw,31
Software Podcast Shorts,https://www.youtube.com/channel/UCftvJfmKt8rZK1HBYi1Rfmg,30
Estação Podcast,https://www.youtube.com/channel/UCAgOgcnAKkx0JSAF_1Um_9g,26
A Tech Ponto Podcast,https://www.youtube.com/channel/UCR2ymxncppmrpeNsRNKLokA,25
Cloud Sesh podcast,https://www.youtube.com/channel/UCVkH4IX-hpO05xSxfP8Sbtg,25
Cloud Native Podcast,https://www.youtube.com/channel/UCDIhmPP-uL0ebx5XONaBiXQ,23
PodCast Desenvolvimento Diário,https://www.youtube.com/channel/UCcr6gE_30lKnSYs2ShCVv3w,20
La Red de Redes Podcast,https://www.youtube.com/channel/UCAz3Uj7VPGy_zuDkZu6TxHg,20
Talking Cloud Podcast,https://www.youtube.com/channel/UC3p--CLpiKE3a92q7ogRz5A,20
Podcast BITI TI / Jadranka Ninić,https://www.youtube.com/channel/UCTe3af2LVzO10SP0i4DJM8g,19
Tenho Dado Podcast,https://www.youtube.com/channel/UCJmbqXz_1hdVDg_ldvsq4aA,18
CORTE Lançai as Redes Podcast,https://www.youtube.com/channel/UC-GP5j5zueCUGTYqMccmOPg,18
Bem Pra Ti Podcast,https://www.youtube.com/channel/UCGFzRAkIZpeYItfW2hvHANQ,17
Big Data Big Issues,https://www.youtube.com/channel/UCZxciISwRs_qRuLIIgcg6Xw,17
Cloud Computing Report Podcast,https://www.youtube.com/channel/UCZ2pp7nzgg_zWVqxG8BlYoQ,17
Mi Mundo Sin Ti Podcast,https://www.youtube.com/channel/UCk-Ek1rKcvhqTdk00ImmanQ,16
Carreira Tech,https://www.youtube.com/channel/UCuCJ05gkkf4LGKlQrukQkgg,15
Wrenches Gadgets & Hacks,https://www.youtube.com/channel/UCun5-s4EpJKNhaMndzrxl7A,15
The Software Delivery Podcast,https://www.youtube.com/channel/UCObWHNsH2ZtimD_tdX_da_A,14
Acme Architectural Hardware Podcast,https://www.youtube.com/channel/UCBz48MjlhM28_4SQhyEW44w,14
Full Circle Podcast - Tech Talk,https://www.youtube.com/channel/UCOhUWPqXnu9N-pBVfG0j52g,13
Software Testing Podcast,https://www.youtube.com/channel/UCZWM4e6kv_NdEecbcfqE9MQ,12
Live Coding - Podcast,https://www.youtube.com/channel/UCHM7NCH0ipQt1zdo4Lc8b6Q,11
A Ti Qué Podcast,https://www.youtube.com/channel/UCVNFy1mlLb3GSIu3a7ACBmQ,11
Beyond Blockchain Podcast,https://www.youtube.com/channel/UCdOhJ9XaBwTUz4TZr8OfzrQ,11
Two Idiots on the Blockchain Podcast,https://www.youtube.com/channel/UCeXqE31zfc12UgC69C4J9mQ,11
UNO TECH,https://www.youtube.com/channel/UC7ZoP7zNfgqXbbBV-xLN35g,10
VerifAI Podcast,https://www.youtube.com/channel/UCwZNS7Qd2mgViKnPwy8_Ulg,9
Redllenando,https://www.youtube.com/channel/UC5dbR4pfBkwgoUX9VTC5e9A,9
Inteligência Mil Grau PodCast,https://www.youtube.com/channel/UCyqEk4TDjYZtIsh015mUagA,8
Tejiendo Redes Podcast,https://www.youtube.com/channel/UCJBB_o11gSfmQ9Pp26HwE-Q,8
Cloud Guy Podcast,https://www.youtube.com/channel/UChlPAUcZlMDxUrLzYV_f1_g,8
Cortes do Emílias Podcast - Mulheres na Computação,https://www.youtube.com/channel/UCeMMK7Kl68thuFk_cr4WuDw,6
Cortes Científicos de Podcast,https://www.youtube.com/channel/UCzbsjVZGE-Ney35rbCTzqFQ,6
Retro Time // A Software Podcast,https://www.youtube.com/channel/UCjEw2IfDOr4O-cv9EIPWI_A,6
Desenvolvimento Desorientado Podcast,https://www.youtube.com/channel/UCo_niFblIzdSbNhiFQsu_aQ,4
PODCAST BytePapo,https://www.youtube.com/channel/UCCBurz-B6wt_BoybCWLCCDg,4
Desenvolvimento Podcast,https://www.youtube.com/channel/UCEmT3eYYcrffAizCeK9y3Og,3
Para Ti Podcast,https://www.youtube.com/channel/UCviWEsgVFAM7ebandRW3Q8w,3
Dados em Foco,https://www.youtube.com/channel/UCKWx6oxymTVNMhmFUP106cw,3
Inovação Podcast,https://www.youtube.com/channel/UCQTqX7wBvcn4g2-jhZp9B1w,2
Podcast Tecnologia Hoje,https://www.youtube.com/channel/UCGtrAo0560utrKveWBhaakA,1
Podcast - EduTec - Educação e tecnologia,https://www.youtube.com/channel/UC-GBvIRNfakAAidArIF3LsQ,1
Podcast Trabalho de PCC-TI,https://www.youtube.com/channel/UCu1TwToyZQ1yTmA9XhdVPxg,1
Podcast BitCast,https://www.youtube.com/channel/UC1sp4oZNfU9_HVxJJUJ0P0A,1
Maker of Chains Blockchain Podcast,https://www.youtube.com/channel/UCOUxtzKd9U5A4cYzUDD_qwA,1
"Podcast da Diulle - ""Além do Reflexo""",https://www.youtube.com/channel/UCF4z9E5tM6LBtoS0m-zjKJg,0
Like It T-I-Is Podcast ,https://www.youtube.com/channel/UCn2LAXyanKIXuRTbzbkLUzA,0
Tecno Podcast,https://www.youtube.com/channel/UCGmERNg8p7p5qNP5F-93fGg,0
Podcast ChatGPT: O Papo Real,https://www.youtube.com/channel/UCEdm8ZGfpZIxxnOuZtGuAdw,0
101 B2B Software Innovations Podcast,https://www.youtube.com/channel/UCoFwVtTyAPVLFJtzUw65KJQ,0
Podcast - do básico até a distribuição nas redes,https://www.youtube.com/channel/UC73gKFm2WNXD6ntwZbbcdxA,0
Telaraña de Redes - Podcast,https://www.youtube.com/channel/UCkUFjvvfaLFzQbvKu1_ZXfQ,0
Bola Na Rede Podcast,https://www.youtube.com/channel/UCFg9-HkseV_bRPQ570wEuqg,0
