Canal,Link,Número de Inscritos
Bad Vibes Cycling Club Podcast,https://www.youtube.com/channel/UCza0Gx0G5gUhfYpAw6WuyWQ,30
SOUL OF A FIGHTER An MMA Podcast,https://www.youtube.com/channel/UC1hTL-TjpR-JVg7PdbyxjTg,28
Rocilene Duarte ,https://www.youtube.com/channel/UCk__YE6CbnwhbWBJoWZAq8Q,26
Surf Break Podcast,https://www.youtube.com/channel/UCxLTcurzgyFBRAbTm_UDypg,23
Podcast Corredores do fundão,https://www.youtube.com/channel/UCz66aUPwsVt7deKVCYiHQOw,21
Cidade Futebol Podcast,https://www.youtube.com/channel/UCM_e-bNkaUwm1EON81G7bBg,18
Zona Korre,https://www.youtube.com/channel/UCRp31hSU3NUsiB7M04iISqA,18
Cortes do Podcast Podsport ,https://www.youtube.com/channel/UC2xHnbzdIoUQqSe5gCIJuMQ,18
Sertão de Lutas Podcast,https://www.youtube.com/channel/UCjsWMf36xKdq65TSIbg7sEg,17
Sports Couples Podcast,https://www.youtube.com/channel/UCHqfAbPYw08LiLqWsbpHH7w,17
Podpato,https://www.youtube.com/channel/UCSzxQBLyvv7qPWM-0gDpkZQ,16
galo de tenis podcast,https://www.youtube.com/channel/UClKPQ6HNJQy22U9lplbYECA,14
Gigante Elite -Podcast de luta,https://www.youtube.com/channel/UCpZ6epHAJ8czZg9pi37LnLA,14
Sobre Rodas Podcast,https://www.youtube.com/channel/UCvHvwkCL_9_KQflyUXkDF4Q,13
Es De Ciclistas Podcast,https://www.youtube.com/channel/UCy8fKhq_EXDcWscGzZOEE1A,13
Pod 1 - Automobilismo com Conteúdo,https://www.youtube.com/channel/UCXnOP1Kd86L5EhNtOWtfshw,12
podcast do  empreender ,https://www.youtube.com/channel/UCFpjhyBWT-MkYj2K4b4sKAQ,10
A2 Podcast,https://www.youtube.com/channel/UCS1CGk5G25wqcK9_EQa_Iaw,8
O podcast Carlos Gomes ,https://www.youtube.com/channel/UCcKBgUQWbfpbXv6afk9O_hw,6
10-8 MMA Podcast,https://www.youtube.com/channel/UC17B3WLBtobXB2hrfdLlS6w,5
Podiocast Olímpico,https://www.youtube.com/channel/UC_owKmkJZ7O4XJVo84GSNJA,4
FUTEBOL  PODCAST,https://www.youtube.com/channel/UCKtB9mcZ0F14SBTRJkW0AOg,2
futebol podcast,https://www.youtube.com/channel/UCwhZp9KIRW-DU_hcrrS5wiw,1
CASA FIT VÔLEI PODCAST,https://www.youtube.com/channel/UCHH_aMO6G9saUISO_bjCf4w,1
VamoVê Cortes Podcast,https://www.youtube.com/channel/UCXecUlqoDMXtPqsnj_MnLiQ,1
podcast channel,https://www.youtube.com/channel/UCGFSAnAaU9ChDiWAJXZSKhQ,1
LIGADOS NO SURF PODCAST,https://www.youtube.com/channel/UCwkiNAdwyxZKfbGBibCcS_w,1
MMA Podcast,https://www.youtube.com/channel/UCmrKNHiLFEOJWpcTVGuVxOQ,0
CICLISMO PODCAST,https://www.youtube.com/channel/UCRZeZT8VEaQZVd4GVyqjAyQ,0
Fuga Ciclismo Podcast,https://www.youtube.com/channel/UC5goexS8KHeMCWsKiEQ6oEQ,0
